target	compound	pchembl_value	
CHEMBL238	CHEMBL99946	5.500	
CHEMBL228	CHEMBL99946	6.500	
CHEMBL222	CHEMBL99946	7.400	
CHEMBL3401	CHEMBL998	5.520	
CHEMBL3351189	CHEMBL998	5.400	
CHEMBL240	CHEMBL998	6.765	
CHEMBL2321614	CHEMBL998	4.200	
CHEMBL231	CHEMBL998	6.537	
CHEMBL2047	CHEMBL998	5.510	
CHEMBL1293224	CHEMBL998	4.700	
CHEMBL4769	CHEMBL997	4.100	
CHEMBL1782	CHEMBL997	7.284	
CHEMBL245	CHEMBL9967	7.060	
CHEMBL216	CHEMBL9967	7.787	
CHEMBL2035	CHEMBL9967	7.175	
CHEMBL1821	CHEMBL9967	7.148	
CHEMBL1782	CHEMBL99369	7.467	
CHEMBL5103	CHEMBL99	7.644	
CHEMBL4145	CHEMBL99	6.658	
CHEMBL3524	CHEMBL99	6.821	
CHEMBL3310	CHEMBL99	7.085	
CHEMBL325	CHEMBL99	8.156	
CHEMBL3192	CHEMBL99	6.542	
CHEMBL2716	CHEMBL99	6.710	
CHEMBL2563	CHEMBL99	6.752	
CHEMBL2163182	CHEMBL99	5.150	
CHEMBL1977	CHEMBL99	7.060	
CHEMBL1865	CHEMBL99	8.197	
CHEMBL1829	CHEMBL99	7.938	
CHEMBL1293226	CHEMBL99	4.550	
CHEMBL1293224	CHEMBL99	4.450	
CHEMBL1250378	CHEMBL99	6.225	
CHEMBL6152	CHEMBL986	6.720	
CHEMBL3100	CHEMBL986	6.740	
CHEMBL2487	CHEMBL986	6.750	
CHEMBL1293224	CHEMBL986	4.625	
CHEMBL1075138	CHEMBL985	4.550	
CHEMBL5554	CHEMBL98350	5.505	
CHEMBL5407	CHEMBL98350	5.850	
CHEMBL4005	CHEMBL98350	5.961	
CHEMBL3267	CHEMBL98350	5.557	
CHEMBL3145	CHEMBL98350	5.994	
CHEMBL3142	CHEMBL98350	5.798	
CHEMBL3130	CHEMBL98350	5.934	
CHEMBL3024	CHEMBL98350	5.700	
CHEMBL2842	CHEMBL98350	5.506	
CHEMBL2652	CHEMBL98350	4.400	
CHEMBL2147	CHEMBL98350	5.630	
CHEMBL1827	CHEMBL98350	5.020	
CHEMBL1795186	CHEMBL98350	4.860	
CHEMBL1795185	CHEMBL98350	4.910	
CHEMBL1293289	CHEMBL98350	4.990	
CHEMBL1163125	CHEMBL98350	4.910	
CHEMBL1075102	CHEMBL98350	4.570	
CHEMBL236	CHEMBL982	7.903	
CHEMBL233	CHEMBL982	9.340	
CHEMBL6111	CHEMBL98123	4.410	
CHEMBL4409	CHEMBL98123	6.310	
CHEMBL1293224	CHEMBL98123	4.900	
CHEMBL6120	CHEMBL981	4.960	
CHEMBL239	CHEMBL981	4.745	
CHEMBL5103	CHEMBL98	6.773	
CHEMBL4618	CHEMBL98	5.120	
CHEMBL4145	CHEMBL98	5.707	
CHEMBL3524	CHEMBL98	5.683	
CHEMBL3310	CHEMBL98	6.410	
CHEMBL325	CHEMBL98	7.291	
CHEMBL3192	CHEMBL98	6.172	
CHEMBL2716	CHEMBL98	5.493	
CHEMBL2563	CHEMBL98	5.554	
CHEMBL240	CHEMBL98	6.490	
CHEMBL203	CHEMBL98	6.985	
CHEMBL1865	CHEMBL98	7.422	
CHEMBL1829	CHEMBL98	7.273	
CHEMBL1293226	CHEMBL98	4.850	
CHEMBL1163125	CHEMBL98	7.167	
CHEMBL1821	CHEMBL978	5.800	
CHEMBL6020	CHEMBL976	4.010	
CHEMBL1293224	CHEMBL975	4.650	
CHEMBL202	CHEMBL973	6.410	
CHEMBL1966	CHEMBL973	6.374	
CHEMBL6152	CHEMBL972	6.570	
CHEMBL2039	CHEMBL972	7.422	
CHEMBL1951	CHEMBL972	4.453	
CHEMBL2492	CHEMBL965	4.180	
CHEMBL216	CHEMBL965	5.577	
