compound	SMILES	length_smiles
CHEMBL1161681	N(=O)O	6
CHEMBL47259	CCCCCl	6
CHEMBL286398	CC(CO)O	7
CHEMBL734	CC(=O)NO	8
CHEMBL1395579	CN(C)CCS	8
CHEMBL1451116	C(I)(I)I	8
CHEMBL42403	B(O)(O)O	8
CHEMBL1135	CN(C)CCO	8
CHEMBL1161632	C(=O)(O)O	9
CHEMBL1256137	C(CS)N.Cl	9
CHEMBL985	C(=O)(N)N	9
CHEMBL444480	C(CSCCO)O	9
CHEMBL1141	[K+].[I-]	9
CHEMBL14227	CCCC(=O)O	9
CHEMBL233248	C=CCN=C=S	9
CHEMBL304383	CNCC(=O)O	9
CHEMBL467	C(=O)(N)NO	10
CHEMBL1597	C(C(CS)S)O	10
CHEMBL225304	C(=NN)(N)N	10
CHEMBL1235452	S1SSSSSSS1	10
CHEMBL1644030	[K+].[Br-]	10
CHEMBL1200731	[Cl-].[K+]	10
CHEMBL773	C(C(=O)O)N	10
CHEMBL12543	CN1CCCC1=O	10
CHEMBL609	C(CNCCNCCN)N	12
CHEMBL19612	C(CCNCCCN)CN	12
CHEMBL285323	CC(C)CC(=O)C	12
CHEMBL427	CN(CCCl)CCCl	12
CHEMBL96	C(CC(=O)O)CN	12
CHEMBL284348	C1=CN=CC=C1N	12
CHEMBL1342	C(CC(=O)O)CO	12
CHEMBL275661	C1CC(=O)NC1=O	13
CHEMBL961	CCN(CC)C(=S)S	13
CHEMBL324846	CCCCCCCC(=O)O	13
CHEMBL90	C1=C(NC=N1)CCN	14
CHEMBL13766	COC1=CC=CC=C1O	14
CHEMBL14060	C1=CC=C(C=C1)O	14
CHEMBL359965	C=CCSS(=O)CC=C	14
CHEMBL273481	C1=C(ONC1=O)CN	14
CHEMBL1046	C(CCC(=O)O)CCN	14
CHEMBL537	C1=CC(=CC=C1O)O	15
CHEMBL93268	N(=O)[O-].[Na+]	15
CHEMBL109	CCCC(CCC)C(=O)O	15
CHEMBL48802	CS(=O)CCCCN=C=S	15
CHEMBL576	C(CC(=O)O)C(=O)O	16
CHEMBL23194	C(CCNCCCN)CNCCCN	16
CHEMBL448500	C1=CC=C(C=C1)CCO	16
CHEMBL116943	C1CCC2=NN=NN2CC1	16
CHEMBL1354	CC(=O)[O-].[Na+]	16
CHEMBL149082	C(CN)CS(=O)(=O)O	16
CHEMBL9324	CC[N+](CC)(CC)CC	16
CHEMBL108030	CCCCCCCCCCC(=O)O	16
CHEMBL24147	C1=CC(=CC(=C1)O)O	17
CHEMBL1089	C1=CC=C(C=C1)CCNN	17
CHEMBL33864	C1CSSC1CCCCC(=O)O	17
CHEMBL406050	CCC(C)SSC1=NC=CN1	17
CHEMBL1203	C1=CN=CC=C1C(=O)O	17
CHEMBL1403899	C1CSSC1CCCCC(=O)N	17
CHEMBL473159	C1=C(C=C(C=C1O)O)O	18
CHEMBL1314	CC(C(=O)NCC(=O)O)S	18
CHEMBL50300	C(C(=O)O)P(=O)(O)O	18
CHEMBL589586	COC(=O)/C=C/C(=O)O	18
CHEMBL1200679	[Cl-].[Cl-].[Zn+2]	18
CHEMBL877	C1CC(CCC1CN)C(=O)O	18
CHEMBL64	C1=CN=CC=C1C(=O)NN	18
CHEMBL107874	CCCCCCCCCCCCC(=O)O	18
CHEMBL269644	CC(=O)NC1=CC=CC=C1	18
CHEMBL62381	CCCC(=O)[O-].[Na+]	18
CHEMBL7303	CN1CCC=C(C1)C(=O)OC	19
CHEMBL1140	C1=CC(=CN=C1)C(=O)N	19
CHEMBL573	C1=CC(=CN=C1)C(=O)O	19
CHEMBL1160571	OP(=O)(O)OP(=O)(O)O	19
CHEMBL151938	CN1CCC=C(C1)/C=N/OC	19
CHEMBL503160	C(=C/C(=O)O)\C(=O)O	19
CHEMBL863	C([C@@H](C(=O)O)N)S	19
CHEMBL256087	CC1CCC(C(C1)O)C(C)C	19
CHEMBL111077	CCCCCCCCCCCCCC(=O)O	19
CHEMBL541	C1=CC=C(C=C1)C(=O)O	19
CHEMBL54922	C1C[C@H](NC1)C(=O)O	19
CHEMBL440464	CN1CCCC1C2=CN=CC=C2	19
CHEMBL70927	CC1=C(C(=O)C=CN1C)O	19
CHEMBL613	C1=CN=C(C=N1)C(=O)O	19
CHEMBL59	C1=CC(=C(C=C1CCN)O)O	20
CHEMBL667	CC(=O)OCC[N+](C)(C)C	20
CHEMBL1132	C1CC(NC1)C2=CN=CC=C2	20
CHEMBL673	CN(CC#C)CC1=CC=CC=C1	20
CHEMBL1533310	C1=C(NC=N1)CCN.Cl.Cl	20
CHEMBL1025	CC(C)OP(=O)(OC(C)C)F	20
CHEMBL1467	C1=NNC2=C1C(=O)NC=N2	20
CHEMBL226345	C1=NC2=NC=NC(=C2N1)N	20
CHEMBL307145	C1=CC(=C(C(=C1)O)O)O	20
CHEMBL185	C1=C(C(=O)NC(=O)N1)F	20
CHEMBL132966	CNCC/C=C/C1=CN=CC=C1	20
CHEMBL965	C[N+](C)(C)CCOC(=O)N	20
CHEMBL1518	CCCC1=CC(=O)NC(=S)N1	20
CHEMBL43068	CC(C)[C@@H](C(=O)O)N	20
CHEMBL504369	C1=CC(=CN=C1)C(=O)NO	20
CHEMBL940	C1CCC(CC1)(CC(=O)O)CN	21
CHEMBL181886	CC(=O)C(=O)[O-].[Na+]	21
CHEMBL50444	CC(CC(=O)O)(CC(=O)O)O	21
CHEMBL82293	CCCCCCCCCCCCCCCC(=O)O	21
CHEMBL13883	COC1=C(C=CC(=C1)C=O)O	21
CHEMBL112	CC(=O)NC1=CC=C(C=C1)O	21
CHEMBL33720	CNCC(C1=CC=C(C=C1)O)O	21
CHEMBL485259	CC1(C2CCC(O1)(CC2)C)C	21
CHEMBL485747	C1=CC(=C(C=C1CCCO)O)O	21
CHEMBL660	C1C2CC3CC1CC(C2)(C3)N	21
CHEMBL325372	COC(=O)C1=CC=C(C=C1)O	21
CHEMBL180570	C(P(=O)(O)O)P(=O)(O)O	21
CHEMBL168815	CC1OC2(CN3CCC2CC3)CS1	21
CHEMBL167911	COP(=O)(OC)OC=C(Cl)Cl	21
CHEMBL291962	CC(C)C[C@@H](C(=O)O)N	21
CHEMBL293492	C1=CC=C(C=C1)/C=C/C=O	21
CHEMBL267936	CC1(C2CCC(C2)C1(C)NC)C	22
CHEMBL424	C1=CC=C(C(=C1)C(=O)O)O	22
CHEMBL289480	C1CC1C(C2CC2)NC3=NCCO3	22
CHEMBL107217	CCN(CC)C(=S)[S-].[Na+]	22
CHEMBL120563	CN(C)C(=S)SSC(=S)N(C)C	22
CHEMBL612	C[C@@H](CC1=CC=CC=C1)N	22
CHEMBL1425	C1=NC2=C(N1)C(=S)N=CN2	22
CHEMBL671	C1CN1P(=S)(N2CC2)N3CC3	22
CHEMBL187734	CCCCCCCCCCCCCCSCC(=O)O	22
CHEMBL242273	C=CCC1=CC2=C(C=C1)OCO2	22
CHEMBL1430	CC(C)([C@H](C(=O)O)N)S	22
CHEMBL27577	C1=CC=C(C(=C1)C(=O)N)O	22
CHEMBL1469	C1=CC=C(C=C1)CCCC(=O)O	22
CHEMBL8085	C(CCN)C[C@@H](C(=O)O)N	22
CHEMBL1595008	CCCCCCCCCC(=O)OCC(CO)O	22
CHEMBL29411	CC1=CC(=C(C=C1)C(C)C)O	22
CHEMBL770	C1CN=C(N1)CC2=CC=CC=C2	22
CHEMBL15841	CCOC(=O)C1=CC=C(C=C1)O	22
CHEMBL513	C(CCl)NC(=O)N(CCCl)N=O	22
CHEMBL291278	CN[C@H](CC(=O)O)C(=O)O	22
CHEMBL176687	CC1=CC(=O)NS(=O)(=O)O1	22
CHEMBL281202	CC1=C(C=C(C=C1)C(C)C)O	22
CHEMBL42710	COC1=C(C=CC(=C1)CC=C)O	22
CHEMBL978	CC(C[N+](C)(C)C)OC(=O)C	23
CHEMBL3	CN1CCC[C@H]1C2=CN=CC=C2	23
CHEMBL442687	C1=CC2=C(C=C1O)OC(=O)S2	23
CHEMBL92401	CC(C)NNC(=O)C1=CC=NC=C1	23
CHEMBL704	C1=CC(=C(C=C1N)C(=O)O)O	23
CHEMBL1557	C1=CC(=C(C=C1CCN)O)O.Cl	23
CHEMBL337702	C1=C(C(=CC(=C1O)O)O)CCN	23
CHEMBL46403	CCCCCCCCCCCCCCCCCC(=O)O	23
CHEMBL443605	CCCCCCC1=C(C=C(C=C1)O)O	23
CHEMBL194014	CCCOC(=O)C1=CC=C(C=C1)O	23
CHEMBL16073	CCOC1=CC=C(C=C1)NC(=O)C	23
CHEMBL600	CC(=O)N[C@@H](CS)C(=O)O	23
CHEMBL1169	C1=CC(=C(C=C1N)O)C(=O)O	23
CHEMBL2104708	C[N+](C)(C)NCCC(=O)[O-]	23
CHEMBL859	C1=NNC2=C1C(=O)NC(=O)N2	23
CHEMBL276832	C1=CC=C2C(=C1)C=NN=C2NN	23
CHEMBL1059	CC(C)C[C@@H](CC(=O)O)CN	23
CHEMBL71733	C[N+]1=CC=CC(=C1)C(=O)N	23
CHEMBL21	C1=CC(=CC=C1N)S(=O)(=O)N	24
CHEMBL574	CC1=CC=C(C=C1)S(=O)(=O)N	24
CHEMBL279390	C1=CC(=NC=C1Cl)C(=O)NCCN	24
CHEMBL25	CC(=O)OC1=CC=CC=C1C(=O)O	24
CHEMBL558	CC1=C(C(=CC=C1)C)OCC(C)N	24
CHEMBL6466	C1=CC=C2C(=C1)C=CC(=O)O2	24
CHEMBL6731	CC(CC1=CC2=C(C=C1)OCO2)N	24
CHEMBL310555	C1=CC2=C(C(=C1)O)N=CC=C2	24
CHEMBL274323	C([C@@H](C(=O)O)N)C(=O)O	24
CHEMBL1740	CNCC(C1=CC(=C(C=C1)O)O)O	24
CHEMBL975	C(CS(=O)(=O)[O-])S.[Na+]	24
CHEMBL472566	C1=CC2=C(C=C1Cl)N=C(O2)N	24
CHEMBL1405973	CCCCCCOC1=CC=CC=C1C(=O)N	24
CHEMBL511099	CC1=CC=C(C=C1)C23CC2CNC3	24
CHEMBL468154	C1(C(C(C(C(C1O)O)O)O)O)O	24
